CATCHMENT,BaselineLoss,S1_min,S2_min,S3a_min,S3b_min,S4_min,S1_typ,S2_typ,S3a_typ,S3b_typ,S4_typ,S1_Max,S2_Max,S3a_Max,S3b_max,S4_Max
RIVER DUDDON,126345.7325,0.002514905,0.00713162,0.093095908,0.103843477,0.275838815,0.016302348,0.043700545,0.276555706,0.363562267,0.610415481,0.048694847,0.12844677,0.537925549,0.708097446,0.872176751
RIVER EDEN AND TRIBUTARIES,257012.7239,0.004708117,0.011674053,0.085350375,0.097581022,0.280261649,0.031486152,0.067619529,0.261600501,0.355541951,0.616620294,0.09173917,0.192333131,0.512098387,0.698397495,0.876565271
RIVER ESK AND NORTH YORKSHIRE COASTAL STREAMS,99681.99388,0.023677407,0.028468477,0.084336926,0.100765966,0.289205598,0.086420802,0.12319658,0.262720873,0.369197117,0.630903808,0.204517749,0.309213031,0.503814659,0.710558836,0.884261293
RIVER EXE,1359158.136,0.014732896,0.020241665,0.077926638,0.092489078,0.290783213,0.067020326,0.111196957,0.257549967,0.358761634,0.632450326,0.169402369,0.295237893,0.500612786,0.699987071,0.884517977
RIVER EYE,189235.3207,-0.007427276,-0.00562096,0.110328128,0.134387807,0.306252258,0.095240985,0.114934145,0.322569134,0.443104472,0.665577665,0.300000349,0.356746527,0.5789896,0.785000479,0.907508547
RIVER KEER,68410.335,0.005885868,0.011307497,0.075303882,0.085327067,0.28201044,0.020405954,0.051069192,0.244409103,0.334280266,0.616222878,0.052434919,0.140376908,0.490317027,0.675073816,0.876547086
RIVER LEADON,145301.6551,0.003426644,0.009460337,0.09535706,0.112397988,0.287236465,0.036686293,0.096350532,0.308248304,0.407198481,0.643342788,0.108933299,0.280221974,0.583607007,0.761222396,0.894836175
RIVER LUGG,657777.6255,0.005621944,0.011496292,0.087122545,0.101929249,0.27932094,0.034884095,0.088589556,0.281206373,0.377165598,0.623312607,0.103314827,0.257273275,0.541781744,0.724466535,0.878785574
RIVER MEASE,105059.8364,0.001745109,0.008252757,0.097865944,0.118991148,0.298062065,0.009368693,0.086286123,0.305926087,0.419490261,0.656340981,0.030298774,0.251776556,0.56563473,0.767965353,0.902520257
RIVER NAR,96991.31142,-0.028798845,-0.02725553,0.099088697,0.116250948,0.297146983,0.106849757,0.125355689,0.330599783,0.427672512,0.661932805,0.31656293,0.370020144,0.618365666,0.784686485,0.90711499
River Nene,663081.2519,3.28535E-05,0.004378028,0.100717897,0.122287998,0.298785471,0.000147407,0.065820381,0.300392053,0.416154743,0.650665625,0.000377869,0.211016725,0.549969015,0.757192499,0.896720389
River Nidd,77317.66449,0.000450102,0.010607877,0.110606747,0.122675985,0.269210763,0.003318562,0.054260282,0.304133998,0.391369715,0.606286779,0.011104934,0.154406926,0.579290867,0.740352024,0.872158871
RIVER PERRY,127271.3328,0.001671515,0.010773925,0.077535484,0.091138634,0.287916614,0.012227884,0.078341647,0.258141488,0.356042342,0.629880331,0.035532783,0.222360919,0.505162967,0.697979344,0.884216318
"RIVER PIDDLE, RIVER FROME AND FLEET LAGOON",666195.6855,0.0278563,0.0319642,0.082287738,0.097811026,0.294257888,0.120258968,0.154987371,0.265815751,0.368781137,0.638035763,0.296603683,0.395752147,0.510507702,0.709056288,0.888744618
RIVER RIBBLE,471361.6565,0.005663389,0.013033574,0.084073506,0.09653186,0.286387038,0.029553398,0.086515602,0.27368003,0.36559536,0.629706285,0.08572905,0.24677704,0.532969368,0.710412705,0.885116954
