CATCHMENT,BaselineLoss,S1_min,S2_min,S3a_min,S3b_min,S4_min,S1_typ,S2_typ,S3a_typ,S3b_typ,S4_typ,S1_Max,S2_Max,S3a_Max,S3b_max,S4_Max
SOUTH DEVON (b),2012.53977,0.032859151,0.044426336,0.078236766,0.091823368,0.224550403,0.101925012,0.149064074,0.23072668,0.339558187,0.578714446,0.214122928,0.333694897,0.448363986,0.687217517,0.858185974
TAMAR - TAVY,21553.68927,0.020920236,0.030953473,0.07166609,0.086720795,0.217093033,0.070439082,0.112817722,0.234197857,0.342240916,0.574827034,0.16855567,0.277667653,0.472027967,0.700896378,0.857797449
"Taw, Torridge & North Devon Streams",9724.410103,0.000927343,0.016912328,0.071067793,0.086411872,0.220599541,0.002764725,0.070200129,0.227021597,0.337347928,0.577202364,0.006307506,0.179190811,0.452312278,0.689606653,0.860116718
The Leam,1762.837773,0.001106141,0.014232691,0.090685341,0.101873181,0.22704589,0.003922923,0.072488426,0.251860173,0.359104524,0.587696906,0.009775703,0.19655428,0.467470599,0.703969241,0.864450425
THE STOUR (including Isle of Thanet),1489.173149,0.014952688,0.028324826,0.096554954,0.108681349,0.230899027,0.046025278,0.109182685,0.260847512,0.374815119,0.595163668,0.102929768,0.266091674,0.47646085,0.720364088,0.86904108
"TWEED, ALN, COQUET AND COASTAL STREAMS",7742.250076,0.008328263,0.02009789,0.087979592,0.100577666,0.211964952,0.032076017,0.081043241,0.264805707,0.376568655,0.576448692,0.085994211,0.212053436,0.507452197,0.739077804,0.860786289
UPPER CHERWELL,2413.135447,0.000148145,0.012594646,0.083652831,0.09370871,0.222531974,0.014804651,0.069463528,0.239824881,0.340092174,0.579205276,0.050529984,0.190049571,0.454432087,0.684562822,0.859477209
Upper Great Ouse,9526.974882,0,0.012979489,0.086762975,0.097527548,0.224459347,0.000875381,0.0686201,0.24529023,0.348770534,0.582752871,0.003129631,0.188268711,0.459937635,0.69321096,0.861921823
UPPER LEE & STORT,978.7342705,0.01575497,0.020538506,0.11279923,0.117068724,0.207750882,0.076107399,0.111835817,0.329116982,0.423101676,0.599964484,0.203561024,0.300871733,0.580530141,0.782002731,0.884747778
UPPER RODING,1221.045897,0.016153255,0.020951222,0.09003599,0.100831394,0.21939324,0.075897257,0.107285891,0.273982722,0.379331682,0.596154438,0.197147296,0.281101416,0.510422454,0.733651363,0.876462513
WAVENEY,5578.845838,0.03008285,0.035613466,0.096311302,0.10518108,0.217655542,0.124513235,0.161370196,0.285640719,0.386788415,0.594594728,0.285785861,0.384015339,0.528933891,0.744401951,0.873493085
WEST CORNWALL CATCHMENTS,3096.787648,0.015839808,0.027047783,0.072188381,0.087215354,0.226197419,0.050688981,0.0961345,0.221582037,0.331105569,0.580918401,0.118207903,0.233060811,0.437893722,0.678010915,0.860782654
WEST CUMBRIAN CATCHMENTS,9038.226955,0.009017935,0.020089924,0.070218009,0.08374693,0.215308124,0.038804143,0.080945085,0.223088084,0.327770646,0.566276337,0.10649252,0.212166483,0.448126372,0.680420023,0.852078223
WEST MIDLANDS MERES AND MOSSES,2425.486094,0.02226856,0.031219729,0.067476082,0.083084466,0.22653376,0.072292487,0.109002202,0.215117826,0.323177137,0.581245046,0.166731723,0.259780404,0.429406412,0.668367698,0.862201016
YARE,2641.007919,0.043541824,0.048056216,0.090078688,0.099783128,0.217561341,0.150184377,0.176233816,0.273812239,0.37539676,0.591921114,0.325605507,0.394312072,0.514447332,0.73270254,0.871931436
YORKSHIRE DERWENT,18456.95439,0.006941579,0.019431756,0.085335567,0.097590121,0.21732844,0.030524624,0.084235199,0.25648507,0.363458131,0.579259392,0.083139144,0.220946811,0.495063138,0.721823692,0.859834116
"YORKSHIRE OUSE, NIDD AND SWALE",10233.83502,0.011736347,0.021065778,0.081566627,0.094365783,0.225185419,0.04778919,0.088060625,0.239498327,0.345474012,0.582562891,0.130143084,0.233025794,0.46124773,0.69395162,0.860676809
